,Document 1,Document 2,Document 3
review,1.0,1.0,
clair,1.0,,1.0
remediation,1.0,,
remark,1.0,2.0,3.0
remain,1.0,1.0,4.0
cognition,1.0,,
coen,1.0,,
chance,1.0,,
regulation,1.0,1.0,5.0
cluster,1.0,,
regime,1.0,1.0,2.0
charlotte,1.0,,
check,1.0,,3.0
reduce,1.0,3.0,
circumstance,1.0,1.0,
recognising,1.0,,
rationale,1.0,,
puzzle,1.0,,
replicate,1.0,,1.0
cell,1.0,,
prove,1.0,1.0,2.0
burden,1.0,1.0,
cai,1.0,,
responsibility,1.0,2.0,1.0
respond,1.0,1.0,
respect,1.0,,
call,1.0,3.0,
capability,1.0,,
case,1.0,4.0,3.0
car,1.0,,
provide,1.0,6.0,4.0
communicate,1.0,,1.0
besley,1.0,,
request,1.0,,1.0
pursue,1.0,,
services,1.0,,
situation,1.0,,1.0
behaviour,1.0,1.0,
transmit,1.0,,
advantage,1.0,,3.0
undertake,1.0,,
affect,1.0,1.0,1.0
underlie,1.0,,1.0
agenda,1.0,,
tweak,1.0,,
try,1.0,1.0,
aid,1.0,,
al,1.0,,
translation,1.0,,
sian,1.0,,
transfer,1.0,,
alert,1.0,1.0,
trail,1.0,,
algorithms,1.0,,
allocate,1.0,1.0,
timeliness,1.0,,1.0
threat,1.0,,
thomas,1.0,,
alter,1.0,,1.0
adoption,1.0,6.0,
united,1.0,,
uptake,1.0,,
usage,1.0,,
writing,1.0,,
access,1.0,2.0,6.0
workshop,1.0,,
accuracy,1.0,,3.0
woods,1.0,,1.0
week,1.0,1.0,
war,1.0,,
adapt,1.0,,
walczak,1.0,,
w,1.0,,
add,1.0,,2.0
voice,1.0,,
visualisation,1.0,,
variety,1.0,1.0,
variable,1.0,,
van,1.0,,
value,1.0,,2.0
utility,1.0,,
address,1.0,1.0,
tension,1.0,,
tempt,1.0,,
amplify,1.0,1.0,
attention,1.0,,
spot,1.0,1.0,
spending,1.0,,
speed,1.0,,1.0
background,1.0,,
specify,1.0,,1.0
balance,1.0,1.0,1.0
basic,1.0,,
sort,1.0,,
sophistication,1.0,,
solve,1.0,,
solution,1.0,1.0,4.0
basis,1.0,,
begin,1.0,,1.0
skin,1.0,,
skill,1.0,5.0,5.0
conclusion,1.0,1.0,1.0
sirignano,1.0,,
simulate,1.0,,1.0
simplify,1.0,,
spreadsheet,1.0,,
stage,1.0,2.0,2.0
area,1.0,4.0,1.0
standard,1.0,,3.0
takers,1.0,1.0,
take,1.0,1.0,
tailor,1.0,,
argument,1.0,,1.0
switch,1.0,,
arise,1.0,2.0,1.0
arnold,1.0,,
arrange,1.0,,
art,1.0,1.0,
subset,1.0,1.0,
submit,1.0,1.0,1.0
articulate,1.0,1.0,
aspect,1.0,,
asset,1.0,,1.0
stephen,1.0,,
assist,1.0,,
steenis,1.0,,
assistance,1.0,,
associate,1.0,3.0,
conclude,1.0,1.0,
express,1.0,,
probability,1.0,,
effort,1.0,,
embed,1.0,1.0,1.0
end,1.0,,2.0
include,1.0,10.0,2.0
improvement,1.0,,
engine,1.0,,1.0
enhance,1.0,1.0,
implement,1.0,,4.0
impact,1.0,2.0,6.0
image,1.0,,
illustration,1.0,,
iii,1.0,1.0,
ii,1.0,1.0,
ensure,1.0,1.0,1.0
idea,1.0,,1.0
huw,1.0,,
hsbc,1.0,,
hope,1.0,,
hermann,1.0,,
environment,1.0,3.0,
influence,1.0,,
innovation,1.0,2.0,
health,1.0,,
insolvency,1.0,,
iv,1.0,,
issue,1.0,5.0,
irregularity,1.0,,
drive,1.0,1.0,
driverless,1.0,,
drr,1.0,,
economy,1.0,2.0,2.0
intervention,1.0,,2.0
effectiveness,1.0,1.0,1.0
interpret,1.0,,1.0
internet,1.0,1.0,
international,1.0,,
interest,1.0,,
interconnectedness,1.0,,
intensity,1.0,,
efficiency,1.0,1.0,1.0
institution,1.0,1.0,
institute,1.0,,
inspection,1.0,,
heart,1.0,,1.0
hazard,1.0,,
prevention,1.0,,
et,1.0,,
evaluate,1.0,1.0,1.0
forest,1.0,,1.0
follow,1.0,5.0,1.0
event,1.0,,2.0
evolve,1.0,2.0,
exception,1.0,,
finding,1.0,,1.0
execution,1.0,2.0,
executive,1.0,1.0,
expand,1.0,,
file,1.0,,
expectation,1.0,2.0,1.0
feedback,1.0,1.0,1.0
feature,1.0,,
fca,1.0,5.0,
experiment,1.0,1.0,
expert,1.0,,1.0
facility,1.0,,
exposure,1.0,,4.0
francis,1.0,,
frontier,1.0,,1.0
haystack,1.0,,2.0
fsa,1.0,,
hauser,1.0,,
harness,1.0,,1.0
hand,1.0,2.0,1.0
hagstroem,1.0,,
habit,1.0,,
guard,1.0,,
grundy,1.0,,
grab,1.0,,
google,1.0,,
go,1.0,,
give,1.0,3.0,2.0
giesecke,1.0,,
get,1.0,,
generate,1.0,1.0,2.0
garbarino,1.0,,
escalation,1.0,,
fund,1.0,1.0,
fuel,1.0,,
ft,1.0,1.0,
draft,1.0,,
james,1.0,1.0,1.0
job,1.0,4.0,3.0
participant,1.0,1.0,
pagerank,1.0,,
oversight,1.0,2.0,
overcome,1.0,1.0,4.0
outperform,1.0,,
contrast,1.0,,
ought,1.0,,
opposite,1.0,,
operate,1.0,,
open,1.0,,
opacity,1.0,,
obscure,1.0,,
contribution,1.0,,
correlation,1.0,,
needle,1.0,,2.0
country,1.0,,
create,1.0,3.0,2.0
crime,1.0,,
monitor,1.0,,
money,1.0,,
context,1.0,1.0,
patel,1.0,,
domicile,1.0,,
pattern,1.0,1.0,
preserve,1.0,,
prepare,1.0,1.0,
prediction,1.0,,
conduct,1.0,3.0,
congruence,1.0,,1.0
eye,1.0,,1.0
connectivity,1.0,,
pose,1.0,5.0,1.0
point,1.0,,1.0
play,1.0,1.0,
platform,1.0,,
consider,1.0,4.0,
physics,1.0,,
philip,1.0,1.0,
pete,1.0,,
consume,1.0,,
perceive,1.0,,
peace,1.0,,
pay,1.0,1.0,
crystallise,1.0,,
david,1.0,,1.0
minute,1.0,,1.0
mining,1.0,,
life,1.0,,
design,1.0,3.0,3.0
leverage,1.0,,
development,1.0,1.0,1.0
lender,1.0,,
lend,1.0,,
leave,1.0,,1.0
devote,1.0,,
diagnosis,1.0,,
digital,1.0,,
layer,1.0,,
law,1.0,,
direction,1.0,1.0,
director,1.0,1.0,
lag,1.0,,1.0
kingdom,1.0,,
kind,1.0,,
disrupt,1.0,,
jump,1.0,,
likelihood,1.0,,
describe,1.0,,4.0
depositor,1.0,,
mcwaters,1.0,,
mills,1.0,,1.0
mikkelsen,1.0,,
day,1.0,,2.0
messaging,1.0,,
debate,1.0,,
meeting,1.0,,1.0
meet,1.0,,2.0
mean,1.0,5.0,
manner,1.0,,
denby,1.0,,
defence,1.0,2.0,
manage,1.0,2.0,
definition,1.0,,1.0
mail,1.0,,
delivery,1.0,,
lund,1.0,,
lovelock,1.0,,
lot,1.0,,
potential,1.0,,
survey,,11.0,
governance,,10.0,1.0
company,,8.0,
cent,,7.0,
lack,,6.0,
evidence,,5.0,1.0
infrastructure,,5.0,
bias,,5.0,
principle,,5.0,3.0
rate,,5.0,
incentive,,4.0,2.0
transition,,4.0,
know,,4.0,5.0
deployment,,4.0,
tell,,4.0,
observation,,4.0,
accord,,3.0,
concern,,3.0,
accountability,,3.0,
cv,,3.0,
explain,,3.0,1.0
people,,3.0,3.0
cause,,3.0,
world,,3.0,2.0
woman,,3.0,
barrier,,3.0,
candidate,,3.0,
reflect,,3.0,1.0
root,,3.0,
turn,,3.0,
understanding,,3.0,
lock,,2.0,
singapore,,2.0,
adopt,,2.0,
let,,2.0,
shift,,2.0,
reason,,2.0,
governor,,2.0,1.0
response,,2.0,1.0
framework,,2.0,
aml,,2.0,
rubbish,,2.0,
offer,,2.0,4.0
interdependency,,2.0,
failing,,2.0,
insurance,,2.0,
exist,,2.0,1.0
advice,,2.0,
think,,2.0,1.0
third,,2.0,
thought,,2.0,
compliance,,2.0,3.0
comment,,2.0,1.0
appear,,2.0,
oversee,,2.0,1.0
implementation,,2.0,
output,,2.0,
organisation,,2.0,
individual,,2.0,
note,,2.0,
whistle,,2.0,
objective,,2.0,6.0
workplace,,2.0,
applicant,,2.0,
recruitment,,2.0,
story,,2.0,
instruction,,2.0,
support,,2.0,
act,,2.0,
culture,,2.0,
peer,,2.0,1.0
derive,,2.0,1.0
mckinsey,,2.0,
function,,2.0,
test,,2.0,
testing,,2.0,
insight,,2.0,
programmer,,1.0,
protection,,1.0,
programming,,1.0,
beginning,,1.0,
place,,1.0,
program,,1.0,
override,,1.0,
penalise,,1.0,
party,,1.0,
overview,,1.0,
period,,1.0,
outsourcing,,1.0,
analytics,,1.0,
orlando,,1.0,
order,,1.0,
opportunity,,1.0,4.0
operation,,1.0,
oliver,,1.0,
perception,,1.0,
personalise,,1.0,
priority,,1.0,
prejudice,,1.0,
post,,1.0,
perspective,,1.0,1.0
positive,,1.0,
plethora,,1.0,
piecemeal,,1.0,
ruiz,,1.0,
publish,,1.0,1.0
thew,,1.0,
theme,,1.0,1.0
termism,,1.0,
tech,,1.0,
talent,,1.0,
acknowledge,,1.0,
question,,1.0,10.0
study,,1.0,
stem,,1.0,1.0
star,,1.0,
stand,,1.0,1.0
thing,,1.0,1.0
tom,,1.0,
topic,,1.0,
transform,,1.0,3.0
weight,,1.0,
vet,,1.0,
validation,,1.0,
unsuitable,,1.0,
unintende,,1.0,
undertaking,,1.0,
underpin,,1.0,1.0
accessibility,,1.0,
type,,1.0,1.0
trust,,1.0,
treat,,1.0,
transparency,,1.0,
speak,,1.0,
aim,,1.0,3.0
reveal,,1.0,
retailer,,1.0,
resilience,,1.0,1.0
reputation,,1.0,
replacement,,1.0,
remuneration,,1.0,
reliance,,1.0,
regard,,1.0,
reform,,1.0,1.0
reflection,,1.0,
realise,,1.0,
align,,1.0,
round,,1.0,
smartphone,,1.0,
show,,1.0,1.0
shoplift,,1.0,
shelf,,1.0,
senior,,1.0,1.0
selection,,1.0,
say,,1.0,
sale,,1.0,
sadia,,1.0,1.0
office,,1.0,1.0
lower,,1.0,
observe,,1.0,
draw,,1.0,1.0
emerge,,1.0,
embody,,1.0,
ellis,,1.0,
eliminate,,1.0,1.0
effect,,1.0,3.0
downgrade,,1.0,
dominance,,1.0,
diversity,,1.0,
discuss,,1.0,
discover,,1.0,
diligence,,1.0,
developer,,1.0,
detection,,1.0,
engagement,,1.0,
equity,,1.0,1.0
fact,,1.0,1.0
extract,,1.0,4.0
assumption,,1.0,1.0
explainability,,1.0,
expect,,1.0,1.0
expansion,,1.0,
exclude,,1.0,
attach,,1.0,1.0
attempt,,1.0,
evaluation,,1.0,1.0
eu,,1.0,
ethics,,1.0,
ethic,,1.0,
establish,,1.0,
era,,1.0,
deploy,,1.0,
client,,1.0,
chess,,1.0,
centric,,1.0,
barber,,1.0,
cash,,1.0,
carsten,,1.0,
captain,,1.0,
capital,,1.0,1.0
buy,,1.0,
blowing,,1.0,
blower,,1.0,
bespoke,,1.0,
benefit,,1.0,5.0
club,,1.0,
coder,,1.0,
college,,1.0,1.0
demand,,1.0,
deliver,,1.0,2.0
define,,1.0,
declare,,1.0,
deal,,1.0,
attribute,,1.0,
date,,1.0,3.0
continue,,1.0,
consumer,,1.0,
connection,,1.0,
confidence,,1.0,
conference,,1.0,1.0
concept,,1.0,1.0
availability,,1.0,
commit,,1.0,
fairness,,1.0,
falk,,1.0,
fault,,1.0,
legacy,,1.0,
machines,,1.0,
appreciation,,1.0,
lyndon,,1.0,1.0
behave,,1.0,
loop,,1.0,
limit,,1.0,
like,,1.0,1.0
licence,,1.0,
leader,,1.0,
feed,,1.0,
kyc,,1.0,
jung,,1.0,
jernova,,1.0,
jennifer,,1.0,
jas,,1.0,
jamie,,1.0,
acceleration,,1.0,
approaches,,1.0,
magnus,,1.0,
man,,1.0,
manager,,1.0,
nemeth,,1.0,
nelson,,1.0,1.0
anna,,1.0,
myriad,,1.0,
mutton,,1.0,
move,,1.0,
moral,,1.0,
mood,,1.0,
answer,,1.0,2.0
mislabelle,,1.0,
minimise,,1.0,
member,,1.0,
maximise,,1.0,
marketing,,1.0,
march,,1.0,1.0
manufacturer,,1.0,
mantra,,1.0,
managing,,1.0,
managers,,1.0,
intend,,1.0,
grade,,1.0,
govern,,1.0,
gender,,1.0,
gather,,1.0,1.0
fx,,1.0,
fraud,,1.0,
frame,,1.0,
artificial,,1.0,
flaw,,1.0,
fintech,,1.0,
fifth,,1.0,
field,,1.0,1.0
fernandez,,1.0,
graduate,,1.0,
approve,,1.0,
group,,1.0,1.0
integrate,,1.0,
insurer,,1.0,
instructor,,1.0,
april,,1.0,
inference,,1.0,
incompetence,,1.0,
arif,,1.0,1.0
imf,,1.0,
iif,,1.0,
hire,,1.0,
hide,,1.0,
heterogeneity,,1.0,
herald,,1.0,
handling,,1.0,
half,,1.0,
grow,,1.0,
code,,,6.0
bigbank,,,5.0
book,,,5.0
widget,,,5.0
fix,,,4.0
smallbank,,,4.0
trade,,,3.0
price,,,3.0
assess,,,3.0
simulation,,,2.0
manipulate,,,2.0
mansion,,,2.0
map,,,2.0
fall,,,2.0
mechanism,,,2.0
inform,,,2.0
hour,,,2.0
house,,,2.0
believe,,,2.0
granularity,,,2.0
block,,,2.0
standardise,,,2.0
reality,,,2.0
desk,,,2.0
night,,,2.0
discussion,,,2.0
nuance,,,2.0
outline,,,2.0
input,,,2.0
off,,,2.0
today,,,2.0
transpose,,,2.0
training,,,2.0
team,,,2.0
compare,,,2.0
estimate,,,2.0
pull,,,2.0
competition,,,2.0
architecture,,,1.0
policy,,,1.0
precede,,,1.0
practice,,,1.0
possess,,,1.0
practical,,,1.0
remove,,,1.0
position,,,1.0
quarter,,,1.0
ratio,,,1.0
raise,,,1.0
ramsay,,,1.0
proof,,,1.0
productivity,,,1.0
reaction,,,1.0
relate,,,1.0
production,,,1.0
ask,,,1.0
proceed,,,1.0
repository,,,1.0
click,,,1.0
spirit,,,1.0
aggregate,,,1.0
tab,,,1.0
supervisors,,,1.0
agree,,,1.0
summer,,,1.0
streamline,,,1.0
storm,,,1.0
store,,,1.0
stop,,,1.0
stock,,,1.0
standardisation,,,1.0
theory,,,1.0
verification,,,1.0
worry,,,1.0
wish,,,1.0
warning,,,1.0
vulnerability,,,1.0
view,,,1.0
advisor,,,1.0
transformation,,,1.0
thinking,,,1.0
aptitude,,,1.0
second,,,1.0
scott,,,1.0
anecdote,,,1.0
robot,,,1.0
road,,,1.0
ring,,,1.0
retrieve,,,1.0
restructure,,,1.0
sense,,,1.0
simplification,,,1.0
alison,,,1.0
small,,,1.0
skille,,,1.0
server,,,1.0
sholthana,,,1.0
shoib,,,1.0
shock,,,1.0
sheet,,,1.0
share,,,1.0
piece,,,1.0
ceo,,,1.0
experience,,,1.0
expense,,,1.0
execute,,,1.0
exceed,,,1.0
phone,,,1.0
episode,,,1.0
cepr,,,1.0
engineering,,,1.0
centred,,,1.0
career,,,1.0
button,,,1.0
calculate,,,1.0
fire,,,1.0
feel,,,1.0
faint,,,1.0
facilitate,,,1.0
extreme,,,1.0
embrace,,,1.0
chunk,,,1.0
contract,,,1.0
constraint,,,1.0
consideration,,,1.0
compute,,,1.0
complement,,,1.0
commentary,,,1.0
combine,,,1.0
circumvent,,,1.0
collaboration,,,1.0
core,,,1.0
counterpartie,,,1.0
couple,,,1.0
digest,,,1.0
differ,,,1.0
detective,,,1.0
chase,,,1.0
depend,,,1.0
degree,,,1.0
decide,,,1.0
chris,,,1.0
creativity,,,1.0
format,,,1.0
modelling,,,1.0
mix,,,1.0
mitigant,,,1.0
melanie,,,1.0
match,,,1.0
mass,,,1.0
maker,,,1.0
bandwidth,,,1.0
list,,,1.0
liquidity,,,1.0
library,,,1.0
laptop,,,1.0
phil,,,1.0
overlook,,,1.0
organise,,,1.0
option,,,1.0
opinion,,,1.0
obstacle,,,1.0
authorise,,,1.0
hold,,,1.0
happen,,,1.0
graft,,,1.0
good,,,1.0
goal,,,1.0
generation,,,1.0
gareth,,,1.0
gain,,,1.0
brain,,,1.0
freeing,,,1.0
history,,,1.0
horizon,,,1.0
label,,,1.0
beaman,,,1.0
acces,,,1.0
invite,,,1.0
investor,,,1.0
begum,,,1.0
intention,,,1.0
incorporate,,,1.0
impose,,,1.0
bite,,,1.0
imperial,,,1.0
imagine,,,1.0
illustrate,,,1.0
khan,,,1.0
